NODE,PARENT,PATH
INSIGHTS_FULL_ROLE,IT_DEVELOPER, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> SFINFDBMI ==> IT_DEVELOPER ==> INSIGHTS_FULL_ROLE
INSIGHTS_READ_ROLE,INSIGHTS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> INSIGHTS_FULL_ROLE ==> INSIGHTS_READ_ROLE
TRANS_READ_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TRANS_READ_ROLE
TGEN_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TGEN_FULL_ROLE
TSRV_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TSRV_FULL_ROLE
INSIGHTS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> INSIGHTS_FULL_ROLE
TOPS_FULL_ROLE,TRANS_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> TRANS_FULL_ROLE ==> TOPS_FULL_ROLE
STAGE_READ_ROLE,STAGE_FULL_ROLE, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> STAGE_FULL_ROLE ==> STAGE_READ_ROLE
SFMIGRATION,SYSADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> SYSADMIN ==> SFMIGRATION
PC_SQLDBM_ROLE,SYSADMIN, ==> ACCOUNTADMIN ==> SECURITYADMIN ==> ZIT_DEVELOPER ==> SYSADMIN ==> PC_SQLDBM_ROLE
